Date,Close,High,Low,Open,Volume
11/02/2021,3916.379883,3925.98999,3890.389893,3916.399902,4590960000
12/02/2021,3934.830078,3937.22998,3905.780029,3911.649902,4135060000
16/02/2021,3932.590088,3950.429932,3923.850098,3939.610107,5058990000
17/02/2021,3931.330078,3933.610107,3900.429932,3918.5,4730650000
18/02/2021,3913.969971,3921.97998,3885.030029,3915.860107,4793650000
19/02/2021,3906.709961,3930.409912,3903.070068,3921.159912,4845320000
22/02/2021,3876.5,3902.919922,3874.709961,3885.550049,5917100000
23/02/2021,3881.370117,3895.97998,3805.590088,3857.070068,6296610000
24/02/2021,3925.429932,3928.649902,3859.600098,3873.709961,6012790000
25/02/2021,3829.340088,3925.02002,3814.040039,3915.800049,6547470000
26/02/2021,3811.149902,3861.080078,3789.540039,3839.659912,6526070000
01/03/2021,3901.820068,3914.5,3842.51001,3842.51001,5114820000
02/03/2021,3870.290039,3906.409912,3868.570068,3903.639893,5536010000
03/03/2021,3819.719971,3874.469971,3818.860107,3863.98999,6173660000
04/03/2021,3768.469971,3843.669922,3723.340088,3818.530029,7195400000
05/03/2021,3841.939941,3851.689941,3730.189941,3793.580078,6851070000
08/03/2021,3821.350098,3881.060059,3819.25,3844.389893,5871710000
09/03/2021,3875.439941,3903.76001,3851.929932,3851.929932,5513560000
10/03/2021,3898.810059,3917.350098,3885.72998,3891.98999,5847380000
11/03/2021,3939.340088,3960.27002,3915.540039,3915.540039,5312880000
12/03/2021,3943.340088,3944.98999,3915.209961,3924.52002,4476280000
15/03/2021,3968.939941,3970.080078,3923.540039,3942.959961,4900100000
16/03/2021,3962.709961,3981.040039,3953.439941,3973.590088,4613080000
17/03/2021,3974.120117,3983.870117,3935.73999,3949.570068,4561660000
18/03/2021,3915.459961,3969.620117,3910.860107,3953.5,5118590000
19/03/2021,3913.100098,3930.120117,3886.75,3913.139893,7757420000
22/03/2021,3940.590088,3955.310059,3914.159912,3916.47998,4316260000
23/03/2021,3910.52002,3949.129883,3901.570068,3937.600098,4669010000
24/03/2021,3889.139893,3942.080078,3889.070068,3919.929932,4783020000
25/03/2021,3909.52002,3919.540039,3853.5,3879.340088,4948340000
26/03/2021,3974.540039,3978.189941,3917.120117,3917.120117,5483160000
29/03/2021,3971.090088,3981.830078,3943.25,3969.310059,4628180000
30/03/2021,3958.550049,3968.01001,3944.350098,3963.340088,4121510000
31/03/2021,3972.889893,3994.409912,3966.97998,3967.25,4578050000
01/04/2021,4019.870117,4020.629883,3992.780029,3992.780029,4162130000
05/04/2021,4077.909912,4083.419922,4034.439941,4034.439941,4005030000
06/04/2021,4073.939941,4086.22998,4068.139893,4075.570068,4081270000
07/04/2021,4079.949951,4083.129883,4068.310059,4074.290039,4120810000
08/04/2021,4097.169922,4098.189941,4082.540039,4089.949951,3907100000
09/04/2021,4128.799805,4129.47998,4095.51001,4096.109863,3640390000
12/04/2021,4127.990234,4131.759766,4114.819824,4124.709961,3588900000
13/04/2021,4141.589844,4148,4124.430176,4130.100098,3734720000
14/04/2021,4124.660156,4151.689941,4120.870117,4141.580078,3985350000
15/04/2021,4170.419922,4173.490234,4139.759766,4139.759766,4033420000
16/04/2021,4185.470215,4191.310059,4170.75,4174.140137,4163820000
